Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
LNGG_FUR,,,Friulian,,,ISO639-2
LNGG_GAA,,,Ga,,,ISO639-2
LNGG_GAY,,,Gayo,,,ISO639-2
LNGG_GBA,,,Gbaya,,,ISO639-2
LNGG_GEM,,,Germanic languages,,,ISO639-2
LNGG_GEZ,,,Geez,,,ISO639-2
LNGG_GIL,,,Gilbertese,,,ISO639-2
LNGG_GLA,,,Gaelic; Scottish Gaelic,,,ISO639-2
LNGG_GLE,,Irish,Irish,,,ISO639-2
LNGG_GLG,,,Galician,,,ISO639-2
LNGG_GLV,,Manx,Manx,,,ISO639-2
LNGG_GMH,,,"German, Middle High (ca. 1050–1500)",,,ISO639-2
LNGG_GOH,,,"German, Old High (ca. 750–1050)",,,ISO639-2
LNGG_GON,,,Gondi,,,ISO639-2
LNGG_GOR,,,Gorontalo,,,ISO639-2
LNGG_GOT,,,Gothic,,,ISO639-2
LNGG_GRB,,,Grebo,,,ISO639-2
LNGG_GRC,,,"Greek, Ancient (to 1453)",,,ISO639-2
LNGG_GRN,,,Guarani,,,ISO639-2
LNGG_GSW,,,Swiss German; Alemannic; Alsatian,,,ISO639-2
LNGG_GUJ,,Gujarati,Gujarati,,,ISO639-2
LNGG_GWI,,,Gwich'in,,,ISO639-2
LNGG_HAI,,,Haida,,,ISO639-2
LNGG_HAT,,Haitian Creole,Haitian; Haitian Creole,,,ISO639-2
LNGG_HAU,,Hausa,Hausa,,,ISO639-2
LNGG_HAW,,,Hawaiian,,,ISO639-2
LNGG_HEB,,Hebrew,Hebrew,,,ISO639-2
LNGG_HER,,,Herero,,,ISO639-2
LNGG_HIL,,Hiligaynon,Hiligaynon,,,ISO639-2
LNGG_HIM,,,Himachali languages; Pahari languages,,,ISO639-2
LNGG_HIN,,Hindi,Hindi,,,ISO639-2
LNGG_HIT,,,Hittite,,,ISO639-2
LNGG_HMN,,Hmong,Hmong; Mong,,,ISO639-2
LNGG_HMO,,,Hiri Motu,,,ISO639-2
LNGG_HRV,,Croatian,Croatian,,,ISO639-2
LNGG_HSB,,,Upper Sorbian,,,ISO639-2
LNGG_HUN,,Hungarian,Hungarian,,,ISO639-2
LNGG_HUP,,,Hupa,,,ISO639-2
LNGG_HYE,,Armenian,Armenian,,,ISO639-2
LNGG_IBA,,,Iban,,,ISO639-2
LNGG_IBO,,Igbo,Igbo,,,ISO639-2
LNGG_IDO,,,Ido,,,ISO639-2
LNGG_III,,,Sichuan Yi; Nuosu,,,ISO639-2
LNGG_IJO,,,Ijo languages,,,ISO639-2
LNGG_IKU,,,Inuktitut,,,ISO639-2
LNGG_ILE,,,Interlingue; Occidental,,,ISO639-2
LNGG_ILO,,Ilocano,Iloko,,,ISO639-2
LNGG_INA,,,Interlingua (International Auxiliary Language Association),,,ISO639-2
LNGG_INC,,,Indo-Aryan languages,,,ISO639-2
LNGG_IND,,Indonesian,Indonesian,,,ISO639-2
LNGG_INE,,,Indo-European languages,,,ISO639-2
LNGG_INH,,,Ingush,,,ISO639-2
LNGG_IPK,,,Inupiaq,,,ISO639-2
LNGG_IRA,,,Iranian languages,,,ISO639-2
LNGG_IRO,,,Iroquoian languages,,,ISO639-2
LNGG_ISL,,Icelandic,Icelandic,,,ISO639-2
LNGG_ITA,,Italian,Italian,,,ISO639-2
LNGG_JAV,,Javanese,Javanese,,,ISO639-2
LNGG_JBO,,,Lojban,,,ISO639-2
LNGG_JPN,,Japanese,Japanese,,,ISO639-2
LNGG_JPR,,,Judeo-Persian,,,ISO639-2
LNGG_JRB,,,Judeo-Arabic,,,ISO639-2
LNGG_KAA,,,Kara-Kalpak,,,ISO639-2
LNGG_KAB,,,Kabyle,,,ISO639-2
LNGG_KAC,,,Kachin; Jingpho,,,ISO639-2
