Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
LNGG_ZBL,,,Blissymbols; Blissymbolics; Bliss,,,ISO639-2
LNGG_ZEN,,,Zenaga,,,ISO639-2
LNGG_ZGH,,,Standard Moroccan Tamazight,,,ISO639-2
LNGG_ZHA,,Zhuang,Zhuang; Chuang,,,ISO639-2
LNGG_ZHO,,,Chinese,,,ISO639-2
LNGG_ZND,,,Zande languages,,,ISO639-2
LNGG_ZUL,,Zulu,Zulu,,,ISO639-2
LNGG_ZUN,,,Zuni,,,ISO639-2
LNGG_ZXX,,,No linguistic content; Not applicable,,,ISO639-2
LNGG_ZZA,,,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,,ISO639-2
LNGG_ASE,,American Sign Language,American Sign Language,,,ISO639-3
LNGG_BFI,,British Sign Language,British Sign Language,,,ISO639-3
LNGG_BGC,,Haryanvi,Haryanvi,,,ISO639-3
LNGG_CDO,,Eastern Min,Min Dong Chinese,,,ISO639-3
LNGG_CJY,,Jin,Jinyu Chinese,,,ISO639-3
LNGG_CMN,,Mandarin Chinese,Mandarin Chinese,,,ISO639-3
LNGG_CTG,,Chittagonian,Chittagonian,,,ISO639-3
LNGG_DCC,,Deccan,Deccan,,,ISO639-3
LNGG_DHD,,Dhundhari,Dhundari,,,ISO639-3
LNGG_GAN,,Gan Chinese,Gan Chinese,,,ISO639-3
LNGG_HAK,,Hakka,Hakka Chinese,,,ISO639-3
LNGG_HNE,,Chhattisgarhi,Chhattisgarhi,,,ISO639-3
LNGG_HSN,,Xiang (Hunnanese),Xiang Chinese,,,ISO639-3
LNGG_IBB,,Ibibio,Ibibio,,,ISO639-3
LNGG_KRI,,Krio,Krio,,,ISO639-3
LNGG_MNK,,Mandinka,Mandinka,,,ISO639-3
LNGG_MNP,,Northern Min,Min Bei Chinese,,,ISO639-3
LNGG_NAN,,Southern Min,Min Nan Chinese,,,ISO639-3
LNGG_SKR,,Saraiki,Saraiki,,,ISO639-3
LNGG_SYL,,Sylheti,Sylheti,,,ISO639-3
LNGG_WUU,,Wu (inc. Shanghainese),Wu Chinese,,,ISO639-3
LNGG_YUE,,"Cantonese,Yue (Cantonese)",Yue (Cantonese),,,ISO639-3
LNGG_0004,,Jamaican,Jamaican,,,Jamaican English/Jamaican Patois
LNGG_0006,,Libyan,Libyan,,,Libyan Arabic?
LNGG_0001,,American,American,,,
LNGG_0002,,Eastern Arabic,Eastern Arabic,,,
LNGG_0003,,French Canadian,French Canadian,,,
LNGG_0005,,Kalibi,Kalibi,,,
LNGG_0007,,Mexican,Mexican,,,
LNGG_0008,,Not Known,Not Known,,,
LNGG_0009,,Scottish,Scottish,,,
LNGG_0010,,Somoan,Somoan,,,
LNGG_0011,,Sudanese,Sudanese,,,
LNGG_0012,,Ulster Scots,Ulster Scots,,,
LNGG_0013,,Taiwanese,Taiwanese,,,
