Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
MSTS_0001,,,Divorced/Person whose Civil Partnership has been dissolved,,,
MSTS_0002,,,Married/Civil Partner,,,
MSTS_0003,,,Not Disclosed,,,
MSTS_0004,,,Separated,,,
MSTS_0005,,,Single,,,
MSTS_0006,,,Widowed/Surviving Civil Partner,,,
