Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
DFTP_0001,,,Lacking,,,
DFTP_0002,,,Mark,,,
DFTP_0003,,,Peculiar,,,
DFTP_0004,,,Pierced,,,
DFTP_0005,,,Tattoo,,,
