Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
GNDR_0001,,,Female,,,
GNDR_0002,,,Intersex,,,
GNDR_0003,,,Male,,,
GNDR_0004,,,Non Binary,,,
GNDR_0005,,,Not Known,,,
GNDR_0006,,,Not Specified,,,
GNDR_0007,,,Prefer not to say,,,
GNDR_0008,,,Self-describe,,,
GNDR_0009,,,Trans Female,,,
GNDR_0010,,,Trans Male,,,
