Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
HNSS_0001,,,Ambidextrous,,,
HNSS_0002,,,Left handed,,,
HNSS_0003,,,Not Known,,,
HNSS_0004,,,Right handed,,,
