Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
EYWR_0001,,,Contact lenses,,,
EYWR_0002,,,Glasses / lenses not worn,,,
EYWR_0003,,,Glasses worn,,,
EYWR_0004,,,Not Known,,,
