Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
BSSN_0001,,,Front Fork,,,
BSSN_0002,,,Rear Suspension,,,
BSSN_0003,,,Seatpost,,,
BSSN_0004,,,Stem,,,
