Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
VFTL_0001,,,Diesel,,,
VFTL_0002,,,Electric,,,
VFTL_0003,,,Other,,,
VFTL_0004,,,Petrol,,,
