Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
VMSS_0001,,,No details held by DVLA,,,
VMSS_0002,,,No results returned,,,
VMSS_0003,,,Not valid,,,
VMSS_0004,,,Valid,,,
