Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
BFTP_0001,,,Female,,,
BFTP_0002,,,Folding,,,
BFTP_0003,,,Male,,,
BFTP_0004,,,Other,,,
BFTP_0005,,,Tricycle,,,
BFTP_0006,,,Unisex,,,
