Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
VTSS_0001,,,Not Taxed for on Road Use,,,
VTSS_0002,,,SORN,,,
VTSS_0003,,,Taxed,,,
VTSS_0004,,,Untaxed,,,
